Date,Total Orders,Total Amount $,Amazon Total Orders,Amazon Total Amount $,eBay Total Orders,eBay Total Amount $,Newegg Total Orders,Newegg Total Amount $,Walmart Total Orders,Walmart Total Amount $,BackMarket Total Orders,BackMarket Total Amount $
2023-04-12,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-11,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-10,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-09,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-07,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-06,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-05,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-04,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-03,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-02,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-31,214,50101.33,204,47652.34,7,1849.02,1,189.99,2,409.98,0,0
2023-03-30,292,90981.15,273,87301.37,10,1864.39,1,219.98,8,1595.41,0,0
2023-03-29,332,87305.04,303,82007.64,14,2379.04,0,0,15,2918.36,0,0
2023-03-28,404,119769.94,383,114867.18,16,3863.81,0,0,5,1038.95,0,0
2023-03-27,420,123848.79,385,114475.40,22,6674.54,1,374.99,12,2323.86,0,0
2023-03-26,292,62343.06,271,57218.58,11,2488.89,1,549.98,9,2085.61,0,0
2023-03-25,322,63765.15,305,59936.33,6,1206.93,0,0,11,2621.89,0,0
2023-03-24,452,139037.61,435,135902.08,13,2130.87,1,299.99,3,704.67,0,0
2023-03-23,391,106749.94,366,101149.26,12,2762.81,0,0,13,2837.87,0,0
2023-03-22,504,136411.77,466,127143.30,23,5827.65,1,339.99,14,3100.83,0,0
2023-03-21,569,145054.06,517,133785.63,25,4808.74,4,1699.94,23,4759.75,0,0
2023-03-20,462,125947.71,426,117382.09,16,3097.82,1,274.99,19,5192.81,0,0
2023-03-19,363,80446.28,327,71824.66,21,4703.77,1,274.99,14,3642.86,0,0
